,,,,,,,,
Item,Quantity,Buying place/reference link,price for 1,total price,,,,notes
Adafruit flora,1,https://robu.in/product/adafruit-flora-wearable-electronic-platform-arduino-compatible-v3/,2142,2142,,,,"1. you can order esp32c6 if the adafruit module is expensive:
https://robu.in/product/seeed-studio-xiao-esp32c6/?gad_source=1&gad_campaignid=17413441824&gbraid=0AAAAADvLFWfbJ1D-AAS9GRmZMxZZzxHvB&gclid=CjwKCAjwmenCBhA4EiwAtVjzmvomX5AAg0UiW360uJbGqohpwXU-63UTvekSOQJXwfk72BGUohaoHxoC7acQAvD_BwE

2. carry your esp32 with you"
Piezoelectric Discs,15,https://www.amazon.in/Piezoelectric-Sensor-Transducer-mm-Pack/dp/B0CVX2VJ7J?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=AOG7U64E0DVL2,431(15),431,,,,
1MÎ© Resistors,0,https://robu.in/product/1m-ohm-0-5w-metal-film-resistor-pack-of-50/,1(for 50),1,,,,
Breadboard(small),2,https://robu.in/product/170-pts-mini-breadboard-syb-170-green/,23,46,,big or small breadboard?,,
"LiPo Battery (3.7V, 500mAh)",1,https://robu.in/product/500mah-pcm-protected-micro-li-po-battery/,224,224,,,,
LiPo Charger,1,https://hubtronics.in/tp4056-battery-charging-module-type-c?srsltid=AfmBOopeZElwC61fbTuf9DKHKRk0WyIy8iqW8WcrSCPtY3lgrIV_NC68,59,59,,,,
Heat Shrink Tubing 2mm ,1,https://robu.in/product/heat-shrink-sleeve-2mm-red-industrial-grade-woer-hst/,9,9,,,,
Heat Shrink Tubing 3mm,1,https://robu.in/product/heat-shrink-sleeve-3mm-red-industrial-grade-woer-hst/,14,14,,,,
Heat Shrink Tubing 4mm,1,https://robu.in/product/heat-shrink-sleeve-4mm-black-industrial-grade-woer-hst/,14,14,,,,
power bank,1,https://www.amazon.in/10000mAh-Li-Polymer-Indicator-Charging-Consumotion/dp/B0CGP252T4?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&smid=A1WYWER0W24N8S&gRefinements=SORT_BY%3APrice%3A%2Blow%2Bto%2Bhigh&th=1,499,499,,,,
Oled screen,1,https://robu.in/product/0-96-inch-i2c-iic-oled-lcd-module-4pin-with-vcc-gnd-white/?gad_source=1&gad_campaignid=17416544847&gbraid=0AAAAADvLFWfHZws8aA-_T0FlVrKqvaRLf&gclid=CjwKCAjwmenCBhA4EiwAtVjzmoUaEBU07RQEqBK7jebeSj1Ckgl1H-7MM7xzT3bJRIXevcsx3ip4LxoC3lsQAvD_BwE,187,187,,,,
,,OUR FINAL PRICE ISSSS,------------------->,3626,,,,
,,,,1208.666667,,,,